a person - человек, персона
a man -	мужчина
a woman - женщина
a child  - ребенок
a boy	мальчик
a girl	девочка
a friend	друг
a neighbour 	сосед
a name	имя, название
a surname 	фамилия
a maiden name	девичья фамилия
an address	адрес
single	холостой/незамужняя
married	женатый/замужняя
age	возраст
old	старый
young	молодой
I	я
you	ты, вы
we	мы
they	они
he	он
she	она
it	оно
my 	мой
me	мне
your	твой, ваш
you	тебе, вам
our	наш
us	нам
their	их
them	им
his	его
him	ему
her	ее/ей
parents 	родители
a father	отец
a mother 	мать
a husband	муж
a wife	жена
a son	сын
a daughter	дочь
a brother	брат
a sister	сестра
a grandfather	дедушка
a grandmother	бабушка
an uncle	дядя
an aunt	 тетя
a nephew	племянник
a niece	  племянница
a cousin	двоюродный брат/двоюродная сестра
an arm	рука
a back	спина
a beard	борода
a bone	кость
buttocks	ягодицы
a cheek	щека
a chest	грудь
a chin	подбородок
an ear	ухо
an elbow	локоть
an eye	глаз
an eyebrow	бровь
a face	лицо
a finger	палец на руке
a foot 	ступня
a forehead	лоб
hair	волосы
a hand	кисть руки
a head	голова
a heart	сердце
a heel	пятка
a knee	колено
a leg	нога
lips	губы
a mouth	рот
a mustache	усы
a nail	ноготь
a neck	шея
a nose	нос
an organ	орган
a shoulder	плечо
skin	кожа
a spine	позвоночник
a stomach	живот, желудок
a throat	горло
a toe	палец на ноге
a tongue	язык
a tooth  зуб
blood	кровь
a bruise	синяк
cough   кашель
to cough	кашлять
dizziness	головокружение
fever	жар
flu	грипп
pain	боль
running nose	насморк
a spot	пятно, точка
a wound	рана
to sneeze	чихать
to hurt   ранить, повреждать
fit	в хорошей форме
healthy	здоровый
swollen	опухший
sick	больной
fat	толстый, жирный
dead	мертвый
positive	положительный
amazing	удивительный
beautiful	красивый
brave	смелый
calm	спокойный
careful	осторожный
clever	умный
curious	любопытный
elegant	элегантный
energetic	энергичный
fair	справедливый, честный
fine	прекрасный, прекрасно
friendly	дружелюбный
good	хороший, добрый
happy	счастливый
hard-working	трудолюбивый
honest	честный
kind	добрый
lucky	везучий, счастливый
nice	милый, хороший, приятный
polite	вежливый
talented	талантливый
neutral	нейтральный
average	средний
boring	скучный
busy	занятой
clumsy	неуклюжий
dear	дорогой
different	другой, разный
difficult	трудный, тяжелый
easy	легкий, нетрудный
embarrassed	смущенный
famous	знаменитый
important	важный
impossible	невозможный
interesting	интересный
real	настоящий
rich	богатый
new	новый
modern	современный
negative	отрицательный
angry	сердитый
annoying	раздражающий
awful	ужасный, отвратительный
bad	плохой
crazy	безумный, сумасшедший
dangerous	опасный
jealous	ревнивый
lazy	ленивый
nervous	нервный
poor	бедный
rude	грубый
an accountant	бухгалтер
an actor актер
actress	актриса
an artist	художник
a boss	босс
a businessman 	бизнесмен
a chief	руководитель, главный
a client	клиент
a colleague 	коллега
a doctor	врач
a driver	водитель
an engineer	инженер
a flight attendant	стюардесса, бортпроводник
a journalist	журналист
a lawyer	адвокат, юрист
a lifeguard	спасатель
a mechanic	механик
a musician	музыкант
a nanny	няня
a nurse	медсестра
a pilot	пилот
a plumber	сантехник
a policeman 	полицейский
a pupil	 школьник
a shop assistant	продавец
a student	студент
a teacher	учитель
a waiter	официант
waitress	официантка
a worker	рабочий
an area	область, сфера, район
a case	дело
a circumstance	обстоятельство
a decision	решение
a duty	обязанность
a goal	цель
a list  список
to list  перечислять
an opportunity	возможность
a problem	проблема
a reason	причина
a result	результат
success	успех
a task	задача, задание
a belt	пояс, ремень
a blouse	блузка
a boot	сапог, ботинок
a cap	кепка
a cardigan	кардиган, кофта
a coat	пальто
a dress платье
to dress одеваться
a glove	перчатка
a hat	шляпа
a hood	капюшон
a jacket	жакет, пиджак, куртка
a jeans	джинсы
pyjamas 	пижама
a scarf	шарф
a shirt	рубашка
shoes	обувь
shorts	шорты
a skirt	юбка
a sock	носок
a suit  костюм
to suit	 идти к лицу
a sweater	свитер
a tie	галстук
tights	колготы
trainers 	кроссовки
trousers 	штаны
a T-shirt	футболка
an underwear	нижнее белье
a bracelet	браслет
an earring	сережка
glasses	очки
a necklace	ожерелье
a purse	дамская сумка, кошелек
a wallet	бумажник
red	красный
orange	оранжевый
yellow	желтый
green	зеленый
blue	голубой, синий
purple	фиолетовый
pink	розовый
brown	коричневый
black	черный
grey	серый
white	белый
bright	яркий
colourful	цветной
dark	темный
light	светлый, легкий
a circle	круг
round	округлый
a square  квадрат
square	квадратный
straight	прямой, ровный
a wheel	колесо
distance	расстояние
size	размер
speed	скорость
strength	сила
a lot of	много
many	много
few	мало
less	меньше, менее
more	больше, более
some	несколько, некоторое количество
any	несколько, некоторое количество, какой-нибудь
a pair	пара
a part	часть
a piece	кусок, часть
big	большой
far	далекий
fast	быстрый, быстро
hard	твердый, трудный, жесткий, усердно
heavy	тяжелый
high	высокий
large	большой, просторный
long	длинный, долгий
loud	громкий
low	низкий, низко
narrow	узкий
near	близкий
noisy	шумный
powerful	мощный
quick	быстрый
quiet	тихий
short	низкий, короткий
also	также
and	и
because	потому что
because of	из-за
but	но
if	если
or	или
so	итак, таким образом, поэтому
what	что, какой
who	кто
when	когда
where	где, куда
how	как, каким образом
why	почему, зачем
fear	страх
fun	веселье
passion	страсть
peace	мир
pleasure	удовольствие
to cry	плакать, кричать
to enjoy	наслаждаться
to laugh	смеяться
to like	нравиться
to love	любить
to miss	скучать
to need	нуждаться
to smile	улыбаться
to want	хотеть
to worry	беспокоиться
behavior	поведение
choice	выбор
experience	опыт
habit	привычка
language	язык
meaning	значение, смысл
memory	память, воспоминание
soul	душа
to believe	верить
to compare	сравнивать
to count	считать
to decide	принимать решение
a book	книга
a calendar	календарь
a notebook	тетрадь
a dictionary	словарь
an exercise	упражнение
information	информация
knowledge	знание
a lesson	урок
a letter	буква, письмо
a mistake	ошибка
a note	записка, запись
a page	страница
paper	бумага
a pen	ручка
a pencil	карандаш
science	наука
scissors	ножницы
a test	тест
a word	слово
